day,timestamp,emeralds_value,emeralds_pnl_increment,tomatoes_value,tomatoes_pnl_increment,portfolio_value_total,pnl_increment_total
-2,0,0.0,0.0,0.0,0.0,0.0,0.0
-2,100,0.0,0.0,0.0,0.0,0.0,0.0
-2,200,0.0,0.0,0.0,0.0,0.0,0.0
-2,300,0.0,0.0,0.0,0.0,0.0,0.0
-2,400,0.0,0.0,0.0,0.0,0.0,0.0
-2,500,0.0,0.0,0.0,0.0,0.0,0.0
-2,600,0.0,0.0,0.0,0.0,0.0,0.0
-2,700,0.0,0.0,0.0,0.0,0.0,0.0
-2,800,0.0,0.0,0.0,0.0,0.0,0.0
-2,900,0.0,0.0,12.0,12.0,12.0,12.0
-2,1000,0.0,0.0,13.0,1.0,13.0,1.0
-2,1100,0.0,0.0,14.0,1.0,14.0,1.0
-2,1200,0.0,0.0,13.0,-1.0,13.0,-1.0
-2,1300,0.0,0.0,8.0,-5.0,8.0,-5.0
-2,1400,0.0,0.0,16.0,8.0,16.0,8.0
-2,1500,0.0,0.0,16.0,0.0,16.0,0.0
-2,1600,0.0,0.0,16.0,0.0,16.0,0.0
-2,1700,0.0,0.0,15.0,-1.0,15.0,-1.0
-2,1800,0.0,0.0,15.0,0.0,15.0,0.0
-2,1900,0.0,0.0,17.0,2.0,17.0,2.0
-2,2000,0.0,0.0,17.0,0.0,17.0,0.0
-2,2100,0.0,0.0,18.0,1.0,18.0,1.0
-2,2200,0.0,0.0,19.0,1.0,19.0,1.0
-2,2300,0.0,0.0,19.0,0.0,19.0,0.0
-2,2400,0.0,0.0,19.0,0.0,19.0,0.0
-2,2500,0.0,0.0,21.0,2.0,21.0,2.0
-2,2600,0.0,0.0,21.0,0.0,21.0,0.0
-2,2700,0.0,0.0,21.0,0.0,21.0,0.0
-2,2800,0.0,0.0,23.0,2.0,23.0,2.0
-2,2900,0.0,0.0,21.0,-2.0,21.0,-2.0
-2,3000,0.0,0.0,22.0,1.0,22.0,1.0
-2,3100,0.0,0.0,23.0,1.0,23.0,1.0
-2,3200,0.0,0.0,24.0,1.0,24.0,1.0
-2,3300,0.0,0.0,33.0,9.0,33.0,9.0
-2,3400,0.0,0.0,25.0,-8.0,25.0,-8.0
-2,3500,0.0,0.0,25.0,0.0,25.0,0.0
-2,3600,0.0,0.0,24.0,-1.0,24.0,-1.0
-2,3700,0.0,0.0,24.0,0.0,24.0,0.0
-2,3800,0.0,0.0,24.0,0.0,24.0,0.0
-2,3900,0.0,0.0,23.0,-1.0,23.0,-1.0
-2,4000,49.0,49.0,23.0,0.0,72.0,49.0
-2,4100,49.0,0.0,23.0,0.0,72.0,0.0
-2,4200,49.0,0.0,25.0,2.0,74.0,2.0
-2,4300,49.0,0.0,25.0,0.0,74.0,0.0
-2,4400,49.0,0.0,25.0,0.0,74.0,0.0
-2,4500,49.0,0.0,25.0,0.0,74.0,0.0
-2,4600,49.0,0.0,24.0,-1.0,73.0,-1.0
-2,4700,49.0,0.0,26.0,2.0,75.0,2.0
-2,4800,49.0,0.0,26.0,0.0,75.0,0.0
-2,4900,49.0,0.0,27.0,1.0,76.0,1.0
-2,5000,49.0,0.0,25.0,-2.0,74.0,-2.0
-2,5100,49.0,0.0,25.0,0.0,74.0,0.0
-2,5200,84.0,35.0,25.0,0.0,109.0,35.0
-2,5300,84.0,0.0,24.0,-1.0,108.0,-1.0
-2,5400,84.0,0.0,24.0,0.0,108.0,0.0
-2,5500,84.0,0.0,24.0,0.0,108.0,0.0
-2,5600,84.0,0.0,18.0,-6.0,102.0,-6.0
-2,5700,84.0,0.0,23.0,5.0,107.0,5.0
-2,5800,84.0,0.0,24.0,1.0,108.0,1.0
-2,5900,76.0,-8.0,24.0,0.0,100.0,-8.0
-2,6000,84.0,8.0,25.0,1.0,109.0,9.0
-2,6100,84.0,0.0,26.0,1.0,110.0,1.0
-2,6200,84.0,0.0,25.0,-1.0,109.0,-1.0
-2,6300,84.0,0.0,25.0,0.0,109.0,0.0
-2,6400,84.0,0.0,25.0,0.0,109.0,0.0
-2,6500,84.0,0.0,20.0,-5.0,104.0,-5.0
-2,6600,84.0,0.0,25.0,5.0,109.0,5.0
-2,6700,84.0,0.0,52.5,27.5,136.5,27.5
-2,6800,84.0,0.0,37.5,-15.0,121.5,-15.0
-2,6900,84.0,0.0,48.0,10.5,132.0,10.5
-2,7000,84.0,0.0,49.5,1.5,133.5,1.5
-2,7100,84.0,0.0,66.0,16.5,150.0,16.5
-2,7200,84.0,0.0,66.0,0.0,150.0,0.0
-2,7300,84.0,0.0,66.0,0.0,150.0,0.0
-2,7400,84.0,0.0,66.0,0.0,150.0,0.0
-2,7500,92.0,8.0,66.0,0.0,158.0,8.0
-2,7600,84.0,-8.0,66.0,0.0,150.0,-8.0
-2,7700,84.0,0.0,66.0,0.0,150.0,0.0
-2,7800,84.0,0.0,66.0,0.0,150.0,0.0
-2,7900,84.0,0.0,66.0,0.0,150.0,0.0
-2,8000,84.0,0.0,66.0,0.0,150.0,0.0
-2,8100,84.0,0.0,66.0,0.0,150.0,0.0
-2,8200,84.0,0.0,66.0,0.0,150.0,0.0
-2,8300,84.0,0.0,66.0,0.0,150.0,0.0
-2,8400,84.0,0.0,66.0,0.0,150.0,0.0
-2,8500,84.0,0.0,66.0,0.0,150.0,0.0
-2,8600,84.0,0.0,66.0,0.0,150.0,0.0
-2,8700,84.0,0.0,66.0,0.0,150.0,0.0
-2,8800,84.0,0.0,66.0,0.0,150.0,0.0
-2,8900,84.0,0.0,66.0,0.0,150.0,0.0
-2,9000,84.0,0.0,66.0,0.0,150.0,0.0
-2,9100,84.0,0.0,66.0,0.0,150.0,0.0
-2,9200,84.0,0.0,66.0,0.0,150.0,0.0
-2,9300,84.0,0.0,66.0,0.0,150.0,0.0
-2,9400,84.0,0.0,66.0,0.0,150.0,0.0
-2,9500,84.0,0.0,66.0,0.0,150.0,0.0
-2,9600,84.0,0.0,66.0,0.0,150.0,0.0
-2,9700,84.0,0.0,66.0,0.0,150.0,0.0
-2,9800,84.0,0.0,66.0,0.0,150.0,0.0
-2,9900,84.0,0.0,66.0,0.0,150.0,0.0
-2,10000,84.0,0.0,66.0,0.0,150.0,0.0
-2,10100,84.0,0.0,66.0,0.0,150.0,0.0
-2,10200,84.0,0.0,66.0,0.0,150.0,0.0
-2,10300,84.0,0.0,66.0,0.0,150.0,0.0
-2,10400,84.0,0.0,66.0,0.0,150.0,0.0
-2,10500,119.0,35.0,66.0,0.0,185.0,35.0
-2,10600,119.0,0.0,66.0,0.0,185.0,0.0
-2,10700,119.0,0.0,66.0,0.0,185.0,0.0
-2,10800,119.0,0.0,66.0,0.0,185.0,0.0
-2,10900,119.0,0.0,66.0,0.0,185.0,0.0
-2,11000,119.0,0.0,66.0,0.0,185.0,0.0
-2,11100,119.0,0.0,66.0,0.0,185.0,0.0
-2,11200,91.0,-28.0,88.0,22.0,179.0,-6.0
-2,11300,140.0,49.0,90.0,2.0,230.0,51.0
-2,11400,140.0,0.0,88.0,-2.0,228.0,-2.0
-2,11500,140.0,0.0,86.0,-2.0,226.0,-2.0
-2,11600,140.0,0.0,92.0,6.0,232.0,6.0
-2,11700,140.0,0.0,90.0,-2.0,230.0,-2.0
-2,11800,140.0,0.0,92.0,2.0,232.0,2.0
-2,11900,140.0,0.0,92.0,0.0,232.0,0.0
-2,12000,140.0,0.0,94.0,2.0,234.0,2.0
-2,12100,140.0,0.0,92.0,-2.0,232.0,-2.0
-2,12200,140.0,0.0,96.0,4.0,236.0,4.0
-2,12300,156.0,16.0,96.0,0.0,252.0,16.0
-2,12400,140.0,-16.0,96.0,0.0,236.0,-16.0
-2,12500,140.0,0.0,96.0,0.0,236.0,0.0
-2,12600,140.0,0.0,90.0,-6.0,230.0,-6.0
-2,12700,140.0,0.0,103.0,13.0,243.0,13.0
-2,12800,140.0,0.0,104.0,1.0,244.0,1.0
-2,12900,140.0,0.0,103.0,-1.0,243.0,-1.0
-2,13000,140.0,0.0,104.0,1.0,244.0,1.0
-2,13100,140.0,0.0,110.0,6.0,250.0,6.0
-2,13200,140.0,0.0,103.0,-7.0,243.0,-7.0
-2,13300,140.0,0.0,103.0,0.0,243.0,0.0
-2,13400,140.0,0.0,103.0,0.0,243.0,0.0
-2,13500,140.0,0.0,102.0,-1.0,242.0,-1.0
-2,13600,140.0,0.0,108.0,6.0,248.0,6.0
-2,13700,140.0,0.0,102.0,-6.0,242.0,-6.0
-2,13800,140.0,0.0,102.0,0.0,242.0,0.0
-2,13900,140.0,0.0,102.0,0.0,242.0,0.0
-2,14000,140.0,0.0,101.0,-1.0,241.0,-1.0
-2,14100,140.0,0.0,112.0,11.0,252.0,11.0
-2,14200,140.0,0.0,112.0,0.0,252.0,0.0
-2,14300,124.0,-16.0,112.0,0.0,236.0,-16.0
-2,14400,140.0,16.0,112.0,0.0,252.0,16.0
-2,14500,140.0,0.0,112.0,0.0,252.0,0.0
-2,14600,156.0,16.0,112.0,0.0,268.0,16.0
-2,14700,140.0,-16.0,112.0,0.0,252.0,-16.0
-2,14800,140.0,0.0,112.0,0.0,252.0,0.0
