product,depth_ticks,alpha,final_pnl,mean_increment,vol_increment,sharpe_empirical,portfolio_value_vol,inventory_final
EMERALDS,-2.0,0.0,11116.0,0.5558,13.138427849632544,0.04230338716024875,3160.9119879144355,-20.0
EMERALDS,-2.0,0.02,11116.0,0.5558,13.138427849632544,0.04230338716024875,3160.9119879144355,-20.0
EMERALDS,-2.0,0.04,10893.0,0.54465,13.105621174805107,0.04155850323577657,3087.1226494090515,-20.0
EMERALDS,-2.0,0.06,10805.0,0.54025,13.097846385474979,0.04124723898114403,3072.152747514192,-20.0
EMERALDS,-2.0,0.08,10516.0,0.5258,12.968412946848973,0.040544668199184494,2984.084031583957,-20.0
EMERALDS,-2.0,0.1,10304.0,0.5152,11.952170052337776,0.04310514306138322,2922.288323384041,-19.0
EMERALDS,-2.0,0.12,10065.0,0.50325,11.739786601020482,0.042867048363234725,2842.4384096753106,-18.0
EMERALDS,-2.0,0.14,9777.0,0.48885,10.387505748614535,0.047061345796627053,2754.3214686263836,-14.0
EMERALDS,-2.0,0.16,9567.0,0.47835,10.055373254012007,0.04757158067793679,2689.064896568255,-14.0
EMERALDS,-2.0,0.18,9040.0,0.452,9.488071247624566,0.047638765372168004,2542.3868681898434,-12.0
EMERALDS,-2.0,0.2,8914.0,0.4457,8.819022140237545,0.05053848294205494,2497.820832781282,-11.0
EMERALDS,-2.0,0.22,8570.0,0.4285,8.244664198740903,0.051973008199101556,2385.552231993879,-13.0
EMERALDS,-2.0,0.24,8473.0,0.42365,8.231310386414789,0.051468111407778426,2353.20068727729,-13.0
EMERALDS,-2.0,0.26,8235.0,0.41175,7.721561496064121,0.0533247064353343,2311.239646257544,-9.0
EMERALDS,-2.0,0.28,8134.0,0.4067,7.706386644206219,0.052774408912608005,2279.8077079941145,-9.0
EMERALDS,-2.0,0.3,7578.0,0.3789,6.945735007182465,0.05455146209986215,2092.2241884910877,-8.0
EMERALDS,-2.0,0.32,7465.0,0.37325,6.932253200619551,0.05384252265434301,2063.995130372257,-8.0
EMERALDS,-2.0,0.34,7465.0,0.37325,6.932253200619551,0.05384252265434301,2063.995130372257,-8.0
EMERALDS,-2.0,0.36,7276.0,0.3638,6.909316142716296,0.05265354667314114,2013.7569278337537,-8.0
EMERALDS,-2.0,0.38,6805.0,0.34025,6.5787825573961625,0.051719295634338254,1920.7423009490785,-8.0
EMERALDS,-2.0,0.4,6736.0,0.3368,6.568848130380242,0.05127230730793347,1900.096516745094,-8.0
EMERALDS,-2.0,0.42,6572.0,0.3286,6.549887177654284,0.05016880307817481,1853.3875685395478,-8.0
EMERALDS,-2.0,0.44,6470.0,0.3235,6.538872054873073,0.04947336440983162,1820.801692592699,-8.0
EMERALDS,-2.0,0.46,6457.0,0.32285,6.538204484221949,0.049379000118320616,1816.4329869765056,-8.0
EMERALDS,-2.0,0.48,6457.0,0.32285,6.538204484221949,0.049379000118320616,1816.4329869765056,-8.0
EMERALDS,-2.0,0.5,5794.0,0.2897,5.670438599438318,0.05108952242754133,1615.3109114462386,-8.0
EMERALDS,-2.0,0.52,5569.0,0.27845,5.639371915160411,0.04937606602101176,1548.0634913792126,-8.0
EMERALDS,-2.0,0.54,5569.0,0.27845,5.639371915160411,0.04937606602101176,1548.0634913792126,-8.0
EMERALDS,-2.0,0.56,5561.0,0.27805,5.639240923874418,0.04930628142217532,1546.6320305001316,-8.0
EMERALDS,-2.0,0.58,5521.0,0.27605,5.6379736073788065,0.04896262721746591,1535.2341494343582,-8.0
EMERALDS,-2.0,0.6,5411.0,0.27055,5.624833570649002,0.04809920091000729,1500.7348060804673,-8.0
EMERALDS,-2.0,0.62,5363.0,0.26815,5.621436255753506,0.04770133250653694,1488.1301667146056,-8.0
EMERALDS,-2.0,0.64,5195.0,0.25975,5.592645164633637,0.04644492764221628,1436.1880896170076,-8.0
EMERALDS,-2.0,0.66,5104.0,0.2552,5.585451902934981,0.04569012578300072,1415.6942356762413,-8.0
EMERALDS,-2.0,0.68,5104.0,0.2552,5.585451902934981,0.04569012578300072,1415.6942356762413,-8.0
EMERALDS,-2.0,0.7,4928.0,0.2464,5.5684007614394995,0.04424968865500668,1366.5451822603745,-8.0
EMERALDS,-2.0,0.72,4928.0,0.2464,5.5684007614394995,0.04424968865500668,1366.5451822603745,-8.0
